CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
JOH-UNI-c7afdb96-8,0,4,3,1,69.96000000000001,105.61059494630491,2.0524
JOH-UNI-c7afdb96-10,0,7,4,1,69.96,125.07060693105187,2.7553800000000006
JOH-UNI-c7afdb96-11,0,5,3,1,69.96000000000001,112.98136821423073,2.688500000000001
JOH-UNI-c7afdb96-12,0,4,3,1,69.96,112.98136821423077,2.7701800000000008
AAR-POS-dddeddbf-1,0,2,5,2,93.28,125.36364193010414,3.10062
AAR-POS-dddeddbf-2,0,4,6,0,120.42000000000002,164.25287004368246,4.969820000000001
AAR-POS-dddeddbf-5,0,6,6,2,100.1,182.46683795369202,1.8916
LON-WEI-8f408cad-1,0,3,2,1,49.41,104.55123093312801,1.9907
LON-WEI-8f408cad-3,0,3,4,0,57.69000000000001,115.00081948250616,0.8197999999999999
LON-WEI-8f408cad-5,0,3,3,0,23.550000000000004,104.60498570448765,1.6311000000000002
LON-WEI-8f408cad-7,0,3,3,0,23.550000000000004,104.60498570448765,1.6311000000000002
LON-WEI-8f408cad-8,0,5,3,1,62.3,173.39552981537813,4.5541000000000045
LON-WEI-8f408cad-9,0,6,4,1,65.54,172.79042137118483,3.631020000000003
LON-WEI-8f408cad-10,0,8,5,1,74.77000000000002,193.86623446356597,4.3636200000000045
MAT-POS-bfefc3ea-3,0,12,5,3,150.0,187.2619637904946,1.4542000000000004
IND-SYN-6c8299e8-7,0,4,5,0,75.51,138.88705305116414,0.5552999999999999
MED-COV-4280ac29-5,0,5,3,0,57.69000000000001,181.46415706429042,3.5023000000000017
MED-COV-4280ac29-10,0,3,1,1,29.1,129.68696936894494,4.409700000000004
MED-COV-4280ac29-12,0,3,2,0,23.550000000000004,128.99194173622186,2.7121000000000013
MED-COV-4280ac29-13,0,3,2,0,23.55,123.63283077535448,2.6115000000000013
MED-COV-4280ac29-14,0,2,2,0,40.62000000000001,116.80148361633228,1.8104
MED-COV-4280ac29-17,0,7,4,1,61.88,200.39540980054596,4.145900000000005
MED-COV-4280ac29-25,0,5,4,0,36.44000000000001,145.24667000589486,2.616900000000001
MED-COV-4280ac29-26,0,8,3,2,69.64,147.14540501464455,2.051
MED-COV-4280ac29-30,0,5,4,0,51.13,151.35443193504577,3.620300000000003
MED-COV-4280ac29-31,0,3,2,0,23.550000000000004,129.64628696581136,2.722800000000001
MED-COV-4280ac29-33,0,5,3,0,32.78,135.11131811925796,2.3694000000000006
MED-COV-4280ac29-37,0,6,3,0,32.78,141.47626023365459,2.4119
LON-WEI-b8d98729-1,0,7,6,1,84.42,194.91819234766263,4.907320000000004
LON-WEI-b8d98729-2,0,8,4,1,62.3,193.11596558922093,5.573320000000005
LON-WEI-b8d98729-4,0,4,5,2,112.81,134.83834919467074,-0.5633999999999979
LON-WEI-b8d98729-6,0,6,4,1,62.3,164.4238134975535,3.9785000000000017
LON-WEI-b8d98729-7,0,6,3,1,62.3,176.236207058679,5.914000000000003
LON-WEI-b8d98729-8,0,9,5,1,80.76,199.5848881372661,5.0050200000000045
LON-WEI-b8d98729-9,0,6,5,1,75.19,190.94231049500385,5.352800000000004
LON-WEI-b8d98729-10,0,7,4,1,71.53,172.14413293048835,3.964000000000003
LON-WEI-b8d98729-11,0,7,4,1,65.54,192.69101334654408,5.0084200000000045
