id,pose,qvina
WAR-XCH-b6889685-29,2,-7.4
WAR-XCH-b6889685-29,3,-7.2
WAR-XCH-b6889685-29,4,-7.1
WAR-XCH-b6889685-29,5,-6.9
WAR-XCH-b6889685-29,6,-6.9
WAR-XCH-b6889685-29,7,-6.7
WAR-XCH-b6889685-29,8,-6.6
WAR-XCH-b6889685-29,9,-6.6
WAR-XCH-b6889685-29,10,-6.6
GAB-REV-70cc3ca5-8,1,-7.2
GAB-REV-70cc3ca5-8,2,-7.1
GAB-REV-70cc3ca5-8,3,-7.0
GAB-REV-70cc3ca5-8,4,-7.0
GAB-REV-70cc3ca5-8,5,-6.9
GAB-REV-70cc3ca5-8,6,-6.9
GAB-REV-70cc3ca5-8,7,-6.9
GAB-REV-70cc3ca5-8,8,-6.9
GAB-REV-70cc3ca5-8,9,-6.9
GAB-REV-70cc3ca5-8,10,-6.8
