id,pose,plants
JOH-UNI-c7afdb96-4,1,-75.3144
JOH-UNI-c7afdb96-4,2,-75.209
JOH-UNI-c7afdb96-4,3,-74.7228
JOH-UNI-c7afdb96-4,4,-74.208
JOH-UNI-c7afdb96-4,5,-71.8323
JOH-UNI-c7afdb96-4,6,-70.6354
JOH-UNI-c7afdb96-4,7,-70.6021
JOH-UNI-c7afdb96-4,8,-67.0532
JOH-UNI-c7afdb96-4,9,-66.6046
JOH-UNI-c7afdb96-4,10,-66.4819
DAR-DIA-23aa0b97-17,1,-74.1667
DAR-DIA-23aa0b97-17,2,-71.5926
DAR-DIA-23aa0b97-17,3,-69.2606
DAR-DIA-23aa0b97-17,4,-68.8397
DAR-DIA-23aa0b97-17,5,-68.0848
DAR-DIA-23aa0b97-17,6,-66.6928
DAR-DIA-23aa0b97-17,7,-66.2226
